labels_used,auc_mean,auc_std,auc_median,auc_q05,auc_q95
246,0.6565013098645386,0.025837655493595093,0.6538876406589411,0.6343188704399466,0.6823428861769668
296,0.6728135517373186,0.03724451496441357,0.6579067339157025,0.6483519014012288,0.7181447470236708
346,0.674724508917334,0.0252868649096986,0.666663248277598,0.6558680999039743,0.704866682826324
396,0.6849547374211052,0.015623890887623525,0.6830528700483858,0.671492872658792,0.7010792165052255
446,0.6933054734624241,0.022567057794857768,0.6982286529371731,0.6668461631690331,0.7128723324911664
496,0.7150030765501618,0.0171292114168911,0.7184168818697967,0.6961405610508751,0.7290862646019598
546,0.7054179912924308,0.021394224693780307,0.702107903004764,0.6857100771002117,0.7297600290873835
596,0.7030448523722066,0.01966936686580913,0.6945172146965869,0.6910149818669998,0.7270134156232811
646,0.7197621733496173,0.022374079965316675,0.7173163159710245,0.6984008465174384,0.744547700511826
696,0.7201966195239737,0.024612661173789133,0.7173675918070537,0.6965798085080597,0.747774069343576
746,0.7312213904142155,0.021135941425911173,0.7308988187911956,0.7091102244017042,0.7537841566989549
796,0.731717833735771,0.029928557505740458,0.7284105423118877,0.7027181786823042,0.7653476967826744
846,0.7399522668580965,0.013423876964820558,0.7361382769454519,0.7292526779970725,0.7559914415968227
896,0.7404237714775832,0.017440259297334147,0.7373898734885282,0.7245441112033041,0.7605508889365391
946,0.7385277309044125,0.01788034686997858,0.7342503938916495,0.7234001473014926,0.7596435863252007
996,0.7399559960098078,0.02226662926315146,0.7363443125774966,0.719364179633238,0.7656041691916132
1046,0.7453362296411623,0.021782077987657248,0.7484994825802,0.7204636267864967,0.7657802783811752
1096,0.7484896935569582,0.023237709831383728,0.7513588096547738,0.7222541789806364,0.770708445596338
1146,0.7530975266401276,0.017764734077821538,0.7567716733636016,0.7326288654988207,0.7684223823685707
1196,0.7483209494420258,0.01575624883293849,0.7465342196283901,0.7330754314162387,0.7660678892069027
1246,0.7479359145278428,0.0227812440139539,0.7557368337637397,0.7203564136747993,0.7645941284506307
1296,0.7507504917818819,0.019061419374399407,0.757638701136459,0.7276373027045674,0.7642201877627887
1346,0.7526365102598286,0.015958396632784953,0.7558365885720145,0.7340307468558589,0.766762164026738
1396,0.747920997920998,0.024645271892489055,0.7568210846237753,0.7180212188732368,0.7653606555848709
1446,0.7563125215591584,0.020113558293881714,0.7640947950364991,0.7320656703616345,0.7696641898884051
1496,0.7533711531469379,0.020043217917789288,0.7570709377884266,0.7310799623355678,0.770482645460224
1546,0.7508008353299833,0.025384030885825363,0.7544586670147209,0.722047211060664,0.7744334952406701
1596,0.7537706385240018,0.023582198617992083,0.7560463533557704,0.7300414868127872,0.7743137894707403
1646,0.7579244473863308,0.017121147637066448,0.7598528849649926,0.7388668972525475,0.7742821849099876
1696,0.7577808750454491,0.02025668901446426,0.7611785983983295,0.7344446826958038,0.7763602547010618
1746,0.7560132571343333,0.019240595830686075,0.7598556818287759,0.733640677586866,0.7730064421095811
1796,0.7571282734959865,0.02247718764549357,0.7610974893486104,0.7313108900552847,0.7773887547430148
1846,0.7586730745923571,0.016626933588327637,0.7659817458023735,0.7384219162246068,0.7686920932660843
