sim_id,seed,labels_used,auc,f1,recall,precision,accuracy
0,42,246,0.6346540745643885,0.08461538461538462,0.05945945945945946,0.14666666666666667,0.9228274967574579
0,42,296,0.6662269375273859,0.10441767068273092,0.07027027027027027,0.203125,0.9276913099870299
0,42,346,0.6763711624698172,0.10743801652892562,0.07027027027027027,0.22807017543859648,0.9299610894941635
0,42,396,0.672123658670744,0.0653061224489796,0.043243243243243246,0.13333333333333333,0.9257457846952011
0,42,446,0.70075981466116,0.11382113821138211,0.07567567567567568,0.22950819672131148,0.9293125810635539
0,42,496,0.728873889412006,0.12403100775193798,0.08648648648648649,0.2191780821917808,0.9267185473411155
0,42,546,0.733218351155571,0.08870967741935484,0.05945945945945946,0.1746031746031746,0.9267185473411155
0,42,596,0.6979909195155831,0.09523809523809523,0.06486486486486487,0.1791044776119403,0.9260700389105059
0,42,646,0.6967397891164707,0.08368200836820083,0.05405405405405406,0.18518518518518517,0.9289883268482491
0,42,696,0.6944519545416407,0.0425531914893617,0.02702702702702703,0.1,0.9270428015564203
0,42,746,0.7059880853602827,0.06694560669456066,0.043243243243243246,0.14814814814814814,0.9276913099870299
0,42,796,0.7236344312577497,0.05714285714285714,0.032432432432432434,0.24,0.9357976653696498
0,42,846,0.7202726009900898,0.09259259259259259,0.05405405405405406,0.3225806451612903,0.9364461738002594
0,42,896,0.7209830043910762,0.09259259259259259,0.05405405405405406,0.3225806451612903,0.9364461738002594
0,42,946,0.7275295302201131,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
0,42,996,0.7482486971276208,0.08411214953271028,0.04864864864864865,0.3103448275862069,0.9364461738002594
0,42,1046,0.7597680467635625,0.05741626794258373,0.032432432432432434,0.25,0.9361219195849546
0,42,1096,0.7556175009089807,0.08450704225352113,0.04864864864864865,0.32142857142857145,0.9367704280155642
0,42,1146,0.7646271314432749,0.10328638497652583,0.05945945945945946,0.39285714285714285,0.9380674448767834
0,42,1196,0.7612391971136365,0.102803738317757,0.05945945945945946,0.3793103448275862,0.9377431906614786
0,42,1246,0.7781453063964275,0.09216589861751152,0.05405405405405406,0.3125,0.9361219195849546
0,42,1296,0.7618060281737412,0.06763285024154589,0.03783783783783784,0.3181818181818182,0.9374189364461738
0,42,1346,0.7795866235328119,0.06666666666666667,0.03783783783783784,0.28,0.9364461738002594
0,42,1396,0.7753913278576956,0.07655502392344497,0.043243243243243246,0.3333333333333333,0.9374189364461738
0,42,1446,0.772051872500303,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
0,42,1496,0.7767524682322888,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
0,42,1546,0.775825774032052,0.07582938388625593,0.043243243243243246,0.3076923076923077,0.9367704280155642
0,42,1596,0.7866272619635848,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
0,42,1646,0.7878336425421627,0.0594059405940594,0.032432432432432434,0.35294117647058826,0.9383916990920882
0,42,1696,0.7757232223599937,0.1073170731707317,0.05945945945945946,0.55,0.9406614785992218
0,42,1746,0.790348955371377,0.0861244019138756,0.04864864864864865,0.375,0.9380674448767834
0,42,1796,0.7841380531963492,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
0,42,1846,0.800432581598501,0.1073170731707317,0.05945945945945946,0.55,0.9406614785992218
0,42,1896,0.7892451264648574,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.938715953307393
0,42,1946,0.7950961654997529,0.0966183574879227,0.05405405405405406,0.45454545454545453,0.9393644617380026
0,42,1996,0.7992951903265805,0.08653846153846154,0.04864864864864865,0.391304347826087,0.9383916990920882
0,42,2046,0.8038652657486738,0.08866995073891626,0.04864864864864865,0.5,0.9400129701686122
0,42,2096,0.8006507369736069,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
0,42,2146,0.7951744776856884,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.938715953307393
0,42,2196,0.8009397462312261,0.08823529411764706,0.04864864864864865,0.47368421052631576,0.9396887159533074
0,42,2246,0.8143143488434968,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.9393644617380026
0,42,2296,0.7982920485162638,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
0,42,2346,0.807676458797535,0.0966183574879227,0.05405405405405406,0.45454545454545453,0.9393644617380026
0,42,2396,0.8027446556594539,0.08737864077669903,0.04864864864864865,0.42857142857142855,0.9390402075226978
0,42,2446,0.8108760709657571,0.07960199004975124,0.043243243243243246,0.5,0.9400129701686122
0,42,2496,0.8031343520132758,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.9396887159533074
0,42,2546,0.7975387598705984,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
0,42,2596,0.815917884079319,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.9396887159533074
0,42,2646,0.8108201336900888,0.07035175879396985,0.03783783783783784,0.5,0.9400129701686122
0,42,2696,0.8059927467999217,0.058823529411764705,0.032432432432432434,0.3157894736842105,0.9377431906614786
0,42,2746,0.8127686154591984,0.0594059405940594,0.032432432432432434,0.35294117647058826,0.9383916990920882
0,42,2796,0.7928139246524897,0.0970873786407767,0.05405405405405406,0.47619047619047616,0.9396887159533074
0,42,2846,0.8034457361811622,0.08695652173913043,0.04864864864864865,0.4090909090909091,0.938715953307393
0,42,2896,0.8003151133195977,0.08780487804878048,0.04864864864864865,0.45,0.9393644617380026
0,42,2946,0.8064868594016575,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
0,42,2996,0.803749662045626,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.938715953307393
0,42,3046,0.8074154181777501,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
0,42,3096,0.8146014935252603,0.11483253588516747,0.06486486486486487,0.5,0.9400129701686122
0,42,3146,0.8167793181246097,0.11483253588516747,0.06486486486486487,0.5,0.9400129701686122
0,42,3196,0.8165201420806801,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
