labels_used,auc_mean,auc_std,auc_median,auc_q05,auc_q95
246,0.6545611565342507,0.03245497318645799,0.649867615114252,0.6138081631130958,0.6969882904636269
296,0.6653618364829127,0.03383009707580924,0.6746785937368898,0.6050727184583687,0.7041145595405686
346,0.6724041530319557,0.025302413253772194,0.6710533921296253,0.6453777164539497,0.7083099018300812
396,0.6828270388360075,0.027834044561517453,0.6835600346811108,0.6359632865014031,0.7195743173321648
446,0.6687024416620829,0.030784541465372246,0.669161313780148,0.6193038606043091,0.7169259670156531
496,0.6536905239147391,0.03604130537928727,0.6623309062770946,0.5898577328622172,0.6998396464764178
546,0.6654428833801032,0.028296502379455416,0.6699327820404054,0.6178502372672776,0.7158163579239812
596,0.6641052366612905,0.030664208489666545,0.6667583416462342,0.6105313108900553,0.7102587098999655
646,0.6653919183067166,0.02740043647587314,0.667409078619841,0.6187121374565321,0.69823256854647
696,0.6730416825932521,0.02890925039315888,0.6784841930581842,0.6150082507481611,0.7056635559326142
746,0.6769495539002265,0.03115118829822649,0.6780297026933799,0.6275744664982333,0.725585989577021
796,0.6811392247715118,0.02700896041919416,0.6853211265767319,0.6348655174664144,0.7159546162236744
846,0.6862048112272328,0.025152824913336477,0.6916373772876016,0.6499314768373065,0.720907955212888
896,0.6937367032434297,0.023858031276974476,0.698661234535674,0.6560143758798468,0.7273735584497917
946,0.697241235716572,0.025061108999583883,0.7051154638598585,0.6545799576741281,0.7329450975639317
996,0.7065162575476477,0.020997666624258678,0.7105982491632716,0.6747541090590418,0.737103474637107
1046,0.7101519318559678,0.023725457635433277,0.7126138556631831,0.6768044898986604,0.745256985167299
1096,0.7149166689973865,0.02203134447453995,0.7177498298574532,0.6805982491632716,0.7450815285792864
1146,0.7190050623234481,0.02346252719216432,0.7197579780539421,0.6798879389910779,0.7533712463757307
1196,0.7249043938730038,0.023303636790656695,0.7296980319401845,0.6873570569534695,0.7592492285317397
1246,0.7318409268185052,0.016985655701463695,0.7321816469798532,0.7044203499808881,0.7561444300457753
1296,0.7301442249424313,0.020885776396073835,0.7289988159943317,0.69619085798458,0.761424535953684
1346,0.7328798684852498,0.01983804759915672,0.7311645208506196,0.7053711904384551,0.7625939047015281
1396,0.7370071692941649,0.018842076593536185,0.7373595741308747,0.7037687739481462,0.7633420657635905
1446,0.7437713532780797,0.016479674455855194,0.744212822688159,0.7138979890549397,0.7642765911824208
1496,0.7453685489559929,0.017893396146357946,0.74540521894782,0.7160662110886327,0.7762988169266197
1546,0.746960834584153,0.01688477338671237,0.7499035081994723,0.720618852726476,0.773407698833708
1596,0.7544903648042661,0.017443786810375256,0.7561731445139517,0.7305451087513868,0.7773805506092502
1646,0.755183738412438,0.01466601816388395,0.7570289848316755,0.7279347957823294,0.7773803641516647
1696,0.7583179661206567,0.014033185299832947,0.7600850246590156,0.7365476445745505,0.7794924624521036
1746,0.7596339837595443,0.016732071286478776,0.7630758043314098,0.7329624381193888,0.7851757828887874
1796,0.75928008726215,0.018600940554301407,0.7590380653160922,0.7290286492080215,0.7901504712715475
1846,0.7634595961950222,0.017580026570645866,0.7682229659808135,0.7317483195510102,0.7859667359667359
1896,0.7664796497083493,0.015999837363082955,0.7693249303114775,0.7415507677391084,0.7867017517690164
1946,0.7688098101551016,0.01609588871835401,0.7736656629033312,0.7391795866235328,0.7890826286790411
1996,0.7723806593761751,0.01301993061401062,0.7736395588413525,0.7525606220225055,0.790587061708138
