labels_used,auc_us,f1_us,recall_us,precision_us,accuracy_us
246,0.6346540745643885,0.08461538461538462,0.05945945945945946,0.14666666666666667,0.9228274967574579
296,0.5958988654055919,0.019230769230769232,0.010810810810810811,0.08695652173913043,0.933852140077821
346,0.5885403167914379,0.02072538860103627,0.010810810810810811,0.25,0.938715953307393
396,0.6485684718868576,0.031578947368421054,0.016216216216216217,0.6,0.940337224383917
446,0.6344722784184667,0.02040816326530612,0.010810810810810811,0.18181818181818182,0.9377431906614786
496,0.6613333581943447,0.031088082901554404,0.016216216216216217,0.375,0.9393644617380026
546,0.6401405890195128,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.9390402075226978
596,0.6399019233099952,0.03076923076923077,0.016216216216216217,0.3,0.938715953307393
646,0.6591685856259848,0.03980099502487562,0.021621621621621623,0.25,0.9374189364461738
696,0.6741280777155216,0.0784313725490196,0.043243243243243246,0.42105263157894735,0.9390402075226978
746,0.6493031147739668,0.0594059405940594,0.032432432432432434,0.35294117647058826,0.9383916990920882
796,0.6542461053671816,0.06,0.032432432432432434,0.4,0.9390402075226978
846,0.6707233622031828,0.07142857142857142,0.03783783783783784,0.6363636363636364,0.9409857328145266
896,0.6527954653515192,0.06030150753768844,0.032432432432432434,0.42857142857142855,0.9393644617380026
946,0.665206082246441,0.06030150753768844,0.032432432432432434,0.42857142857142855,0.9393644617380026
996,0.6924177022831731,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.938715953307393
1046,0.7034914182896245,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.938715953307393
1096,0.7052832756868631,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
1146,0.7155608178029703,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
1196,0.7097489348610425,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.9383916990920882
1246,0.6933779588488109,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
1296,0.7118447181227452,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.9380674448767834
1346,0.7076121309305166,0.07804878048780488,0.043243243243243246,0.4,0.938715953307393
1396,0.6983675638384159,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.9383916990920882
1446,0.7255847776027149,0.08737864077669903,0.04864864864864865,0.42857142857142855,0.9390402075226978
1496,0.7227618097573254,0.08653846153846154,0.04864864864864865,0.391304347826087,0.9383916990920882
1546,0.7309305165807409,0.07692307692307693,0.043243243243243246,0.34782608695652173,0.9377431906614786
1596,0.7378667387635998,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
1646,0.7686452924121087,0.07511737089201878,0.043243243243243246,0.2857142857142857,0.9361219195849546
1696,0.7521251503314283,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.9380674448767834
1746,0.7658577515079756,0.08450704225352113,0.04864864864864865,0.32142857142857145,0.9367704280155642
1796,0.7575156391299889,0.09302325581395349,0.05405405405405406,0.3333333333333333,0.9367704280155642
1846,0.7549164203872724,0.10328638497652583,0.05945945945945946,0.39285714285714285,0.9380674448767834
1896,0.7622069119826967,0.09433962264150944,0.05405405405405406,0.37037037037037035,0.9377431906614786
1946,0.7720071226797685,0.09302325581395349,0.05405405405405406,0.3333333333333333,0.9367704280155642
1996,0.7742296970996523,0.11214953271028037,0.06486486486486487,0.41379310344827586,0.9383916990920882
2046,0.7781061503034598,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
2096,0.7781583584274168,0.09433962264150944,0.05405405405405406,0.37037037037037035,0.9377431906614786
2146,0.7647576517531675,0.09259259259259259,0.05405405405405406,0.3225806451612903,0.9364461738002594
2196,0.7728200777528131,0.10185185185185185,0.05945945945945946,0.3548387096774194,0.937094682230869
2246,0.7753186093993268,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
2296,0.7737579594081837,0.08530805687203792,0.04864864864864865,0.34615384615384615,0.9374189364461738
2346,0.7734689501505646,0.09216589861751152,0.05405405405405406,0.3125,0.9361219195849546
2396,0.7733421589923833,0.12264150943396226,0.07027027027027027,0.48148148148148145,0.9396887159533074
2446,0.770038130576247,0.09345794392523364,0.05405405405405406,0.3448275862068966,0.937094682230869
2496,0.7691897485619458,0.10232558139534884,0.05945945945945946,0.36666666666666664,0.9374189364461738
2546,0.7867316782114989,0.10426540284360189,0.05945945945945946,0.4230769230769231,0.938715953307393
2596,0.781935989110877,0.102803738317757,0.05945945945945946,0.3793103448275862,0.9377431906614786
2646,0.785715484370193,0.0947867298578199,0.05405405405405406,0.38461538461538464,0.9380674448767834
2696,0.7932893914956696,0.09345794392523364,0.05405405405405406,0.3448275862068966,0.937094682230869
2746,0.7878933089695422,0.09302325581395349,0.05405405405405406,0.3333333333333333,0.9367704280155642
2796,0.7801049756206708,0.10628019323671498,0.05945945945945946,0.5,0.9400129701686122
2846,0.7854525791745524,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
2896,0.7928735910798691,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
2946,0.7971173657272312,0.06572769953051644,0.03783783783783784,0.25,0.935473411154345
2996,0.8068299413590893,0.08411214953271028,0.04864864864864865,0.3103448275862069,0.9364461738002594
3046,0.8123024714952967,0.09345794392523364,0.05405405405405406,0.3448275862068966,0.937094682230869
3096,0.8065166926153472,0.05741626794258373,0.032432432432432434,0.25,0.9361219195849546
3146,0.804163597885571,0.07547169811320754,0.043243243243243246,0.2962962962962963,0.9364461738002594
3196,0.8036247354633006,0.06829268292682927,0.03783783783783784,0.35,0.9380674448767834
3246,0.8137810801487931,0.08490566037735849,0.04864864864864865,0.3333333333333333,0.937094682230869
3296,0.8095018785601745,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.9383916990920882
3346,0.8107455506558646,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
3396,0.8108742063899016,0.06763285024154589,0.03783783783783784,0.3181818181818182,0.9374189364461738
3446,0.8197458583108808,0.09523809523809523,0.05405405405405406,0.4,0.9383916990920882
3496,0.8109786226378155,0.06572769953051644,0.03783783783783784,0.25,0.935473411154345
3546,0.8182057186541492,0.09433962264150944,0.05405405405405406,0.37037037037037035,0.9377431906614786
3596,0.8148942319345905,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
3646,0.8154181777500163,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
3696,0.8129793125308822,0.0947867298578199,0.05405405405405406,0.38461538461538464,0.9380674448767834
3746,0.8135368207117086,0.09433962264150944,0.05405405405405406,0.37037037037037035,0.9377431906614786
3796,0.811127788706264,0.09302325581395349,0.05405405405405406,0.3333333333333333,0.9367704280155642
3846,0.8120861806960461,0.11374407582938388,0.06486486486486487,0.46153846153846156,0.9393644617380026
3896,0.813943298248231,0.10138248847926268,0.05945945945945946,0.34375,0.9367704280155642
3946,0.8079356348414645,0.09345794392523364,0.05405405405405406,0.3448275862068966,0.937094682230869
3996,0.8143050259642188,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.938715953307393
4046,0.8176165126837772,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
4096,0.8149669503929595,0.10426540284360189,0.05945945945945946,0.4230769230769231,0.938715953307393
4146,0.8155710729701762,0.09389671361502347,0.05405405405405406,0.35714285714285715,0.9374189364461738
4196,0.8095857844736769,0.0761904761904762,0.043243243243243246,0.32,0.937094682230869
4246,0.8050697817513962,0.10377358490566038,0.05945945945945946,0.4074074074074074,0.9383916990920882
