labels_used,accuracy,f1,recall,precision,auc,sim_id,seed
200,0.9169909208819714,0.1111111111111111,0.08648648648648649,0.1553398058252427,0.648836970810065,0,42
250,0.9202334630350194,0.031496062992125984,0.021621621621621623,0.057971014492753624,0.6565525857005678,0,42
300,0.9328793774319066,0.06334841628959276,0.03783783783783784,0.19444444444444445,0.6480547812386377,0,42
350,0.9228274967574579,0.09848484848484848,0.07027027027027027,0.16455696202531644,0.6674948491091989,0,42
400,0.9218547341115434,0.10408921933085502,0.07567567567567568,0.16666666666666666,0.6826454602239356,0,42
450,0.9186121919584954,0.10676156583629894,0.08108108108108109,0.15625,0.7099465799017369,0,42
500,0.9195849546044098,0.12056737588652482,0.0918918918918919,0.17525773195876287,0.7025535366342541,0,42
550,0.9231517509727627,0.09885931558935361,0.07027027027027027,0.16666666666666666,0.7358846946290893,0,42
600,0.9228274967574579,0.07751937984496124,0.05405405405405406,0.136986301369863,0.7105152755376971,0,42
650,0.9130998702983139,0.0821917808219178,0.06486486486486487,0.11214953271028037,0.7448924605875279,0,42
700,0.9212062256809338,0.09665427509293681,0.07027027027027027,0.15476190476190477,0.7320697724285169,0,42
750,0.9280155642023347,0.0975609756097561,0.06486486486486487,0.19672131147540983,0.7361196311868958,0,42
800,0.9335278858625162,0.08888888888888889,0.05405405405405406,0.25,0.7347435742054577,0,42
850,0.9341763942931258,0.0730593607305936,0.043243243243243246,0.23529411764705882,0.7375068756234675,0,42
900,0.9332036316472114,0.07207207207207207,0.043243243243243246,0.21621621621621623,0.7273057811174403,0,42
950,0.9332036316472114,0.046296296296296294,0.02702702702702703,0.16129032258064516,0.7374975527441895,0,42
1000,0.930609597924773,0.036036036036036036,0.021621621621621623,0.10810810810810811,0.750422792575259,0,42
1050,0.9332036316472114,0.05504587155963303,0.032432432432432434,0.18181818181818182,0.7379077594324231,0,42
1100,0.932230869001297,0.07111111111111111,0.043243243243243246,0.2,0.7537305501431063,0,42
1150,0.930609597924773,0.08547008547008547,0.05405405405405406,0.20408163265306123,0.755403074685586,0,42
1200,0.9312581063553826,0.07017543859649122,0.043243243243243246,0.18604651162790697,0.7598389006460755,0,42
1250,0.9325551232166018,0.07964601769911504,0.04864864864864865,0.21951219512195122,0.7634170217129858,0,42
1300,0.9332036316472114,0.06363636363636363,0.03783783783783784,0.2,0.7733384298406719,0,42
1350,0.9302853437094682,0.09282700421940929,0.05945945945945946,0.21153846153846154,0.7843170524784875,0,42
1400,0.9335278858625162,0.10480349344978165,0.06486486486486487,0.2727272727272727,0.7807669000494114,0,42
1450,0.930609597924773,0.10084033613445378,0.06486486486486487,0.22641509433962265,0.7773081118372599,0,42
1500,0.9293125810635539,0.0603448275862069,0.03783783783783784,0.14893617021276595,0.7747294034289549,0,42
1550,0.9270428015564203,0.058577405857740586,0.03783783783783784,0.12962962962962962,0.7770787690070201,0,42
1600,0.930609597924773,0.05309734513274336,0.032432432432432434,0.14634146341463414,0.7799371637936662,0,42
1650,0.9335278858625162,0.0639269406392694,0.03783783783783784,0.20588235294117646,0.7881487558617604,0,42
