labels_used,auc_mean,auc_std,auc_median,auc_q05,auc_q95
400,0.676289058979642,0.031035250569671085,0.6804056384773873,0.6188311906249127,0.7136438473658204
450,0.6857436083893483,0.03443054529626476,0.6918163765697398,0.6282452476622881,0.735174431071292
500,0.6965648919012147,0.030938550682571557,0.6968693771384353,0.6572146965868939,0.7454113720481435
550,0.7002255204497357,0.03180891713854362,0.7091354894045477,0.6513202129345628,0.7494811817681772
600,0.7049677272995659,0.029575435508270267,0.7066639941079402,0.6646759833306918,0.7440424004549565
650,0.7107893060359428,0.02720973967876151,0.7061372514287312,0.6729477079701295,0.7545975779159636
700,0.7157613218599767,0.020890161949288187,0.7126781835302014,0.6847570923804108,0.7562099698871001
750,0.7198317531052958,0.018631714225415215,0.7191631783560035,0.6930098915749139,0.750562449306844
800,0.7223329573105358,0.018400283789432807,0.7250459151804444,0.6907407959874328,0.745118260723642
850,0.7234578870004879,0.019442814882335593,0.7247876714244428,0.6916504293185908,0.7542143143488436
900,0.7261271205665825,0.019535806879691878,0.7272778124796062,0.6969737001575567,0.7523586884573432
950,0.730068461010165,0.020818596148797247,0.7318889085705229,0.700783588003319,0.7570432488369708
1000,0.7336805484339116,0.020872562845515176,0.7350628828207304,0.7040597410104137,0.7669180425682668
1050,0.7329703625667752,0.01861977197860087,0.7348349384223822,0.7013868715214008,0.7610427640472484
1100,0.7335571445885347,0.018610285572878544,0.7321518137661636,0.7101534545929166,0.7612083383832263
1150,0.7362416676766453,0.020873924969563175,0.740115417245462,0.6958058230703971,0.7623514166115063
1200,0.7393338802755843,0.019154098020815007,0.7435453045318516,0.7023522556706413,0.7679567977774255
1250,0.7409651044628623,0.01848634631854155,0.7431006031902894,0.7112928036694854,0.7689469807855459
1300,0.7435006790163742,0.018190448184656927,0.7462181740208647,0.7087472847114104,0.7708963948425832
1350,0.7446400902454715,0.02013085768216635,0.7444729310200162,0.7145187063572713,0.7774182150415334
1400,0.7462604998927869,0.018265229350476392,0.7439639018114355,0.7204811537995395,0.7778532205886465
1450,0.7493909362967659,0.017334098284411847,0.7449008511788782,0.7242124497729879,0.7785798457995767
