labels_used,auc_mean,auc_std,auc_median,auc_q05,auc_q95
246,0.6346540745643885,0.0,0.6346540745643885,0.6346540745643885,0.6346540745643885
296,0.6684225688261562,0.02419021550513972,0.6664889104350988,0.6298087877460075,0.7088677363116824
346,0.6817599420738435,0.03137029490064665,0.6744907377194373,0.6430087262150043,0.7227729505980627
396,0.6944509911774486,0.02557491449351526,0.6973784063470163,0.6542763581104388,0.7294513485544875
446,0.7076729782559379,0.024809744712860345,0.7080624259996458,0.6700193915888984,0.7467898529781937
496,0.713255394062569,0.025846693206529985,0.7167839795642488,0.6647248352181088,0.7482411455954057
546,0.7217921370836169,0.0244136570405576,0.7259073492257349,0.6760357718877898,0.7487165192097928
596,0.7241825544067697,0.022891847505717905,0.7279574503789751,0.6798699458340715,0.7508628324771822
646,0.7311840988971033,0.023500497043158448,0.7342075086469705,0.6946487605232,0.7635370071692943
696,0.7345715360065136,0.023060710550463177,0.7394758677269888,0.6956333498037534,0.7678082843105265
746,0.736401492903735,0.024103812062607647,0.7383477993343464,0.697736777826464,0.7695021582465528
796,0.7370899564621538,0.021791773325140935,0.7374630580908608,0.699450323037767,0.7661724919124023
846,0.744733225809459,0.018003612461141797,0.7470246030784147,0.7179800117468279,0.7678350409740544
896,0.7441722992395639,0.01881912813853598,0.745936623066668,0.7129801515900172,0.767372626161864
946,0.748032592785956,0.020517421763019347,0.7496648424899547,0.7114954830649899,0.7766257703029004
996,0.7509183346851509,0.019713541728013314,0.7512338830724481,0.7188003318945023,0.7758642775234704
1046,0.7500965539530563,0.01823289519927403,0.7537519927654457,0.7173216300122129,0.779885794728844
1096,0.7506510166599852,0.018114694192737486,0.7528038559428695,0.7210783774460905,0.7747106644416062
1146,0.7508898066745601,0.0176289823867654,0.7508423221427706,0.7226892777565425,0.7723940221698069
1196,0.7508568036819159,0.020099082531085315,0.7523461025703178,0.7161406076652713,0.7796916923822754
1246,0.7494520322323014,0.0204206234982188,0.754239579351687,0.714363946561256,0.7741876509141083
1296,0.7492317636712256,0.019653452368244503,0.753930992047584,0.7170594706469147,0.7759334532877133
1346,0.7509152270587248,0.02220592531392576,0.7525297632920951,0.709019046642365,0.7765670361634487
1396,0.7535683941961969,0.021134054043342686,0.7593261422857835,0.71186299096613,0.7817289279621118
1446,0.7554652272141061,0.01987492311586209,0.7613342904822726,0.715521475252417,0.7811288142229847
1496,0.7588005805046164,0.01977891615169918,0.7614694722318041,0.7290016128581152,0.7835212515033143
1546,0.759600856461843,0.021350779320615413,0.7671508348638394,0.7178824944295796,0.7854320688401405
1596,0.7613820857767046,0.018076580990801012,0.7630291899350194,0.7291062155636147,0.788707942160857
1646,0.7631909729667578,0.02063671693063875,0.7674491670007364,0.7263596953283052,0.7939499174925183
1696,0.7657247450969424,0.02009898141578315,0.7656479867242199,0.729526770647847,0.7958409703252752
1746,0.7669655581763205,0.018833217414106068,0.7684923971919486,0.7330010348395999,0.7936174636174637
1796,0.7669622640923089,0.018132215856881323,0.7702516245117141,0.7357088651259055,0.7926576731957898
1846,0.7664314814987461,0.01695897779575745,0.768552995907256,0.7399660647194279,0.7911448495753428
1896,0.7674992619387239,0.01686848175009902,0.7687357243411055,0.7430074676263018,0.7912032107996234
1946,0.7706322465963722,0.014535779140545036,0.7722579081323476,0.7512383580545016,0.7964260742287648
1996,0.7713119466482695,0.013477810542649831,0.7689212496387385,0.7467817420732219,0.7907727734633565
2046,0.7759240993321711,0.013142531444601884,0.7760718980449922,0.7532099605642206,0.7956475205802559
2096,0.7745142313752179,0.010735148804916056,0.7753559009164391,0.7590685511313314,0.7919728144840252
2146,0.7752737352737353,0.012464440386780592,0.7738437298975416,0.7544191380065819,0.796299469528169
2196,0.7757005366870838,0.012092083778566302,0.772977634412612,0.7615215871269683,0.7968127872612177
2246,0.7743761906093745,0.011780383444360802,0.7727268489600327,0.7585723874961543,0.7944328426391205
2296,0.7765643946809867,0.012074807527845658,0.7752104639997017,0.7611582745215033,0.8032023158032127
2346,0.7776818349912521,0.011917372884355367,0.7760709657570645,0.7623018188937472,0.8001391905876212
2396,0.7795859398549981,0.011644125562315852,0.7781695458825504,0.7652995907255997,0.8007637302704568
2446,0.7804468766800606,0.011744354015153268,0.7788491837819193,0.7618898408584508,0.799102672869489
2496,0.7809330337581459,0.013088375743761125,0.7793470255353664,0.761431248426764,0.8031230713293493
2546,0.7819165353694503,0.010902337774670496,0.7811239663257601,0.7664201075860269,0.8029217903657365
2596,0.7822801276612936,0.010936840485228194,0.7806494317705079,0.7683020239970912,0.8001119677801292
2646,0.7831561675507863,0.010933494378233512,0.7812554189235805,0.7703024342037795,0.8028229678453894
2696,0.7840645267551097,0.010975644098028144,0.7803296570112714,0.7728365792491354,0.8054583593597048
2746,0.7853635146011828,0.009433946917687695,0.7828244595060738,0.7743628278157426,0.8039253983200172
2796,0.7852980058361224,0.010990279999631366,0.7841781415772449,0.7680363219376672,0.8052241686322404
2846,0.7861836172150074,0.010159153365335915,0.7844885934572032,0.7730954756066863,0.8032593718243943
2896,0.7842259368716767,0.009181489692090311,0.7814940846330981,0.7741484948211406,0.7996461967313985
2946,0.7864431661741079,0.010431588859528431,0.7844969840485536,0.7735174291228103,0.8036303291908673
2996,0.7875416499631747,0.011043014772954187,0.7889617109348052,0.7739685632510745,0.8042131956033302
3046,0.7888594700253894,0.01130498226353184,0.7871959575995451,0.7744585737859281,0.80679274307077
3096,0.7880036297076656,0.009054659421004087,0.7862813831423697,0.7755782515872203,0.8035533222080309
3146,0.7891907430024022,0.008680871644377319,0.788197234834006,0.776096603675079,0.8019043845501244
3196,0.7898114603047338,0.008896757388713643,0.7902892889439974,0.7776690937229054,0.8048492024276778
3246,0.7891521462821912,0.009233149376133697,0.7889412006003935,0.7755231533706871,0.8060388018235551
3296,0.7898476952288612,0.009337007767942782,0.789346745848988,0.7767810894716725,0.8050433047742466
3346,0.7899243914490551,0.008766922436420185,0.7895928698619281,0.7767089303860604,0.8006966987684476
3396,0.7898416042810662,0.010427089379800789,0.7910183381035398,0.7727477322096157,0.805613958214855
3446,0.7883280037540127,0.010904773798312024,0.7880779019792472,0.7731624138799027,0.8038464335325323
3496,0.7888068889862612,0.011374437006913745,0.7881040060412259,0.7732399802354959,0.8072160950187856
3546,0.7919191146993838,0.009863945218774272,0.7907069539356535,0.7766450686630059,0.8046269449856894
3596,0.7898327786220164,0.009365365051066879,0.7882624949889525,0.7770905158349104,0.8058346307673663
3646,0.7907044678345126,0.009411947401044616,0.790771281802672,0.7779582894381101,0.8062624576974352
3696,0.7926296424054271,0.007832035735476136,0.791132077230732,0.780264023941154,0.8034374388186047
3746,0.7922471557449137,0.007987574664114585,0.792879184807436,0.779362874430139,0.8036776894175998
3796,0.7929119391899662,0.009840792599145921,0.7922414998648182,0.7784190261320306,0.8098910155412398
3846,0.7935646028919571,0.007149190012179502,0.7934077920625007,0.7828593270745737,0.804363480417292
3896,0.7935223391725634,0.00808219301219616,0.7920569068551132,0.781278912579361,0.8068488668040238
3946,0.7942723958867457,0.009092102843474314,0.7930320800275956,0.7797138808349571,0.8073951875297168
3996,0.7931447004092743,0.006999198535825671,0.792166916830594,0.7806856977708996,0.8027699206622974
4046,0.7938211063771602,0.009104565428118678,0.7929090180211256,0.7807118950616709,0.8069172035091317
4096,0.7955117173054393,0.00967584721230395,0.7935094114466311,0.7844520477704335,0.8119794337283126
4146,0.7944954613116049,0.007366192445266993,0.7936035725273394,0.784075310218808,0.8040917184863374
4196,0.7954285572222791,0.007973102477181472,0.794032424974129,0.7848782898110251,0.8078185394777324
4246,0.7947153569575094,0.008380475932363522,0.7933443964834099,0.7831297838024296,0.8070428759217998
4296,0.7962327487888027,0.008745039194393435,0.7959464120899098,0.7863072075179699,0.809096706226751
4346,0.7965682481377548,0.0093771724044821,0.7965132431500145,0.7834016389621772,0.8109591378201244
4396,0.796521074368608,0.007125175661227938,0.7969709965225661,0.7853766909372291,0.807328435714086
4446,0.7981633306296984,0.008064617844972904,0.7983806158694051,0.7861430316138837,0.8100978902324194
4496,0.795815021644618,0.008089590200595319,0.7972982295852251,0.7828816087560482,0.8075872388428442
4546,0.7971455829751795,0.008536539088524113,0.797864128357402,0.7844706935289895,0.8135737393136496
4596,0.7981533862251351,0.00793426226723708,0.7979732060449549,0.7871131704315562,0.809157864314815
4646,0.7983136775961889,0.008146069503213567,0.7975014683534862,0.7888168333908244,0.8088206557713283
4696,0.7985320194288804,0.007915828845541628,0.7989791447190551,0.785620391001557,0.8114716164940381
4746,0.7987610514964775,0.009455958753077805,0.8001118745513365,0.782885524365345,0.8096650289475402
4796,0.7980423196566695,0.007338348688242053,0.7985139330430808,0.7889475401583025,0.8082336872919833
4846,0.7983118751728617,0.008725629859003832,0.7981466115995264,0.7822730111967781,0.8111732843571409
4896,0.7978731404740373,0.008407141039965423,0.7986826771580136,0.7860733897056768,0.8091822902585235
4946,0.7986927458676337,0.007482779288918849,0.7986985260527861,0.7839658596160838,0.8092950038689949
4996,0.7990559652443061,0.008968891641377956,0.8000736507462964,0.7868850395756226,0.8136577384559447
5046,0.7998110563132985,0.009477666217018328,0.8010106001137391,0.7860024425943709,0.8116336481358903
5096,0.8003988949280428,0.00896256182213871,0.80075981466116,0.7888476921212348,0.8120299637339996
5146,0.8011069986854741,0.009225261748029002,0.8033469136608151,0.7887399196367807,0.8155228736843086
5196,0.8014211797171439,0.007850705991403768,0.8001053485358418,0.7898389006460755,0.8120233444897123
5246,0.8005752216514549,0.007900952178767457,0.8003673214435546,0.7889949936138277,0.8116856698022618
5296,0.8020522764917384,0.009050462437889532,0.8033646271314433,0.7852317201644555,0.8138316101544801
5346,0.8010494454440643,0.008948615859197791,0.800982631475905,0.7893311766405937,0.8118552529763292
