labels_used,accuracy_us,f1_us,recall_us,precision_us,auc_us
200,0.9169909208819714,0.1111111111111111,0.08648648648648649,0.1553398058252427,0.648836970810065
250,0.9212062256809338,0.1413427561837456,0.10810810810810811,0.20408163265306123,0.6260210883529269
300,0.9273670557717251,0.104,0.07027027027027027,0.2,0.6782208217185796
350,0.9270428015564203,0.11764705882352941,0.08108108108108109,0.21428571428571427,0.6862813831423697
400,0.9166666666666666,0.07220216606498195,0.05405405405405406,0.10869565217391304,0.6515070434352945
450,0.9195849546044098,0.12056737588652482,0.0918918918918919,0.17525773195876287,0.6672496573841865
500,0.9335278858625162,0.08888888888888889,0.05405405405405406,0.25,0.7025442137549761
550,0.9380674448767834,0.030456852791878174,0.016216216216216217,0.25,0.6740833278949871
600,0.9396887159533074,0.021052631578947368,0.010810810810810811,0.4,0.6816572350204638
650,0.9400129701686122,0.031413612565445025,0.016216216216216217,0.5,0.6819201402161043
700,0.9396887159533074,0.041237113402061855,0.021621621621621623,0.4444444444444444,0.6908887500815752
750,0.9400129701686122,0.05128205128205128,0.02702702702702703,0.5,0.6801487931532775
800,0.9383916990920882,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.6753885309939122
850,0.9396887159533074,0.07,0.03783783783783784,0.4666666666666667,0.683033292001902
900,0.9400129701686122,0.08866995073891626,0.04864864864864865,0.5,0.7069296961673643
950,0.938715953307393,0.07804878048780488,0.043243243243243246,0.4,0.7160195034634497
1000,0.9400129701686122,0.07960199004975124,0.043243243243243246,0.5,0.7312008800798039
1050,0.9390402075226978,0.06,0.032432432432432434,0.4,0.7049737560948324
1100,0.9396887159533074,0.05102040816326531,0.02702702702702703,0.45454545454545453,0.7191743658111371
1150,0.9390402075226978,0.050505050505050504,0.02702702702702703,0.38461538461538464,0.7127434436851476
1200,0.9390402075226978,0.050505050505050504,0.02702702702702703,0.38461538461538464,0.710078964787485
1250,0.9390402075226978,0.06,0.032432432432432434,0.4,0.7279099036946569
1300,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7455898119575252
1350,0.9413099870298314,0.08121827411167512,0.043243243243243246,0.6666666666666666,0.75707373465221
1400,0.9400129701686122,0.07035175879396985,0.03783783783783784,0.5,0.7402328855243654
1450,0.9393644617380026,0.06965174129353234,0.03783783783783784,0.4375,0.7482281867932092
1500,0.9393644617380026,0.06965174129353234,0.03783783783783784,0.4375,0.7625238898781499
1550,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.758654894977765
1600,0.9400129701686122,0.07960199004975124,0.043243243243243246,0.5,0.7616531329535814
1650,0.9374189364461738,0.07655502392344497,0.043243243243243246,0.3333333333333333,0.7886484621910631
1700,0.9380674448767834,0.059113300492610835,0.032432432432432434,0.3333333333333333,0.7721656116274951
1750,0.9380674448767834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.7782534517960528
1800,0.9383916990920882,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.7608066155151356
1850,0.9380674448767834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.7764634589746698
1900,0.9367704280155642,0.07582938388625593,0.043243243243243246,0.3076923076923077,0.7827601316390556
1950,0.9380674448767834,0.0861244019138756,0.04864864864864865,0.375,0.7818390311663854
2000,0.9380674448767834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.788335213447321
2050,0.9383916990920882,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.7753297968544606
2100,0.938715953307393,0.08695652173913043,0.04864864864864865,0.4090909090909091,0.7997594697146266
2150,0.9380674448767834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.7966120656703616
2200,0.9380674448767834,0.0861244019138756,0.04864864864864865,0.375,0.7875464978603993
2250,0.9383916990920882,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.7967780129215106
2300,0.937094682230869,0.0673076923076923,0.03783783783783784,0.30434782608695654,0.7883482654783103
2350,0.9393644617380026,0.10526315789473684,0.05945945945945946,0.4583333333333333,0.8024108965813002
2400,0.9393644617380026,0.08780487804878048,0.04864864864864865,0.45,0.8040461296066678
2450,0.9380674448767834,0.0861244019138756,0.04864864864864865,0.375,0.8032723306265908
