labels_used,accuracy_rs,f1_rs,recall_rs,precision_rs,auc_rs
400,0.9218547341115434,0.09737827715355805,0.07027027027027027,0.15853658536585366,0.6919646103502606
450,0.917639429312581,0.11188811188811189,0.08648648648648649,0.15841584158415842,0.7167988961710935
500,0.9189364461738002,0.13793103448275862,0.10810810810810811,0.19047619047619047,0.7451926573002807
550,0.916018158236057,0.0975609756097561,0.07567567567567568,0.13725490196078433,0.7751619850274559
600,0.9173151750972762,0.15282392026578073,0.12432432432432433,0.19827586206896552,0.7632809076755265
650,0.9127756160830091,0.15141955835962145,0.12972972972972974,0.18181818181818182,0.775939513159244
700,0.9118028534370947,0.1337579617834395,0.11351351351351352,0.16279069767441862,0.7386461314712435
750,0.9105058365758755,0.1375,0.11891891891891893,0.16296296296296298,0.7587033739500106
800,0.9111543450064851,0.13836477987421383,0.11891891891891893,0.16541353383458646,0.7426046260126978
850,0.9127756160830091,0.1237785016286645,0.10270270270270271,0.1557377049180328,0.7459925603423361
900,0.9140726329442282,0.0636042402826855,0.04864864864864865,0.09183673469387756,0.7316483782851496
950,0.9130998702983139,0.07586206896551724,0.05945945945945946,0.10476190476190476,0.7450584078386769
1000,0.919260700389105,0.07434944237918216,0.05405405405405406,0.11904761904761904,0.7276488630748721
1050,0.916018158236057,0.07168458781362007,0.05405405405405406,0.10638297872340426,0.7288384624707496
1100,0.9186121919584954,0.06691449814126393,0.04864864864864865,0.10714285714285714,0.7298490625844887
1150,0.9173151750972762,0.05204460966542751,0.03783783783783784,0.08333333333333333,0.7220588646597617
1200,0.9189364461738002,0.07407407407407407,0.05405405405405406,0.11764705882352941,0.7399811677838584
1250,0.9182879377431906,0.08695652173913043,0.06486486486486487,0.13186813186813187,0.7440272973905262
1300,0.9179636835278858,0.05947955390334572,0.043243243243243246,0.09523809523809523,0.7478776465323551
1350,0.9189364461738002,0.06015037593984962,0.043243243243243246,0.09876543209876543,0.7469789209699523
1400,0.9221789883268483,0.06976744186046512,0.04864864864864865,0.1232876712328767,0.7562701024584434
1450,0.9199092088197146,0.06792452830188679,0.04864864864864865,0.1125,0.7633293866477724
