iteration,labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
14,896,0.9221789883268483,0.09090909090909091,0.06486486486486487,0.1518987341772152,0.7613286967547056,0.9400129701686122,0.07035175879396985,0.03783783783783784,0.5,0.6675908747657626,0.9335278858625162,0.10480349344978165,0.06486486486486487,0.2727272727272727,0.728959659901364
15,946,0.9221789883268483,0.08396946564885496,0.05945945945945946,0.14285714285714285,0.7676328277225138,0.9400129701686122,0.07035175879396985,0.03783783783783784,0.5,0.6531814325536298,0.930609597924773,0.07758620689655173,0.04864864864864865,0.19148936170212766,0.7380848941387059
16,996,0.9280155642023347,0.10483870967741936,0.07027027027027027,0.20634920634920634,0.7692028005929352,0.9396887159533074,0.07,0.03783783783783784,0.4666666666666667,0.6852073874495399,0.9293125810635539,0.0603448275862069,0.03783783783783784,0.14893617021276595,0.7106402021200228
17,1046,0.9238002594033723,0.07114624505928854,0.04864864864864865,0.1323529411764706,0.7662306666790972,0.9396887159533074,0.07,0.03783783783783784,0.4666666666666667,0.723196255931682,0.9328793774319066,0.08,0.04864864864864865,0.225,0.7187697528504703
18,1096,0.9215304798962386,0.06923076923076923,0.04864864864864865,0.12,0.7545901196125412,0.940337224383917,0.08,0.043243243243243246,0.5333333333333333,0.6988728638952854,0.9315823605706874,0.07860262008733625,0.04864864864864865,0.20454545454545456,0.7300112806839264
19,1146,0.9238002594033723,0.10646387832699619,0.07567567567567568,0.1794871794871795,0.7701425468241612,0.940337224383917,0.0707070707070707,0.03783783783783784,0.5384615384615384,0.7267203042987797,0.930609597924773,0.06140350877192982,0.03783783783783784,0.16279069767441862,0.7323998023549594
20,1196,0.9231517509727627,0.11235955056179775,0.08108108108108109,0.18292682926829268,0.7744553107781806,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7253330598622078,0.930609597924773,0.07758620689655173,0.04864864864864865,0.19148936170212766,0.7085817103754324
21,1246,0.9286640726329443,0.09090909090909091,0.05945945945945946,0.19298245614035087,0.7670510800555643,0.9406614785992218,0.08040201005025126,0.043243243243243246,0.5714285714285714,0.7424647828235272,0.9283398184176395,0.05150214592274678,0.032432432432432434,0.125,0.7243056785657683
22,1296,0.9247730220492867,0.09375,0.06486486486486487,0.16901408450704225,0.7615226126436889,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7428488854497823,0.9319066147859922,0.05405405405405406,0.032432432432432434,0.16216216216216217,0.750736041319001
23,1346,0.9218547341115434,0.08365019011406843,0.05945945945945946,0.14102564102564102,0.7667229147049774,0.9393644617380026,0.07881773399014778,0.043243243243243246,0.4444444444444444,0.7415492760784241,0.9319066147859922,0.07079646017699115,0.043243243243243246,0.1951219512195122,0.7451851989968582
24,1396,0.9218547341115434,0.08365019011406843,0.05945945945945946,0.14102564102564102,0.7708361690424471,0.9406614785992218,0.08955223880597014,0.04864864864864865,0.5625,0.7273206977242852,0.9302853437094682,0.0611353711790393,0.03783783783783784,0.1590909090909091,0.7340853789284282
25,1446,0.9257457846952011,0.0728744939271255,0.04864864864864865,0.14516129032258066,0.7698274335045636,0.9400129701686122,0.07960199004975124,0.043243243243243246,0.5,0.7504917818819165,0.9319066147859922,0.07079646017699115,0.043243243243243246,0.1951219512195122,0.7307571110261692
26,1496,0.9231517509727627,0.09885931558935361,0.07027027027027027,0.16666666666666666,0.7602770759721432,0.938715953307393,0.06896551724137931,0.03783783783783784,0.3888888888888889,0.7665159467850051,0.9328793774319066,0.07174887892376682,0.043243243243243246,0.21052631578947367,0.7450565432628213
27,1546,0.9247730220492867,0.08661417322834646,0.05945945945945946,0.15942028985507245,0.7605884601400297,0.9383916990920882,0.07766990291262135,0.043243243243243246,0.38095238095238093,0.7629322319905281,0.9319066147859922,0.07079646017699115,0.043243243243243246,0.1951219512195122,0.7455152289233007
28,1596,0.9234760051880675,0.09923664122137404,0.07027027027027027,0.16883116883116883,0.7470218062146314,0.938715953307393,0.07804878048780488,0.043243243243243246,0.4,0.767864035128609,0.932230869001297,0.05429864253393665,0.032432432432432434,0.16666666666666666,0.7441727343072635
29,1646,0.919260700389105,0.08791208791208792,0.06486486486486487,0.13636363636363635,0.7705583472399615,0.9380674448767834,0.07729468599033816,0.043243243243243246,0.36363636363636365,0.7677969103978073,0.930609597924773,0.044642857142857144,0.02702702702702703,0.1282051282051282,0.7526546898744209
30,1696,0.9231517509727627,0.11235955056179775,0.08108108108108109,0.18292682926829268,0.7764280320334132,0.9374189364461738,0.08530805687203792,0.04864864864864865,0.34615384615384615,0.770233911041086,0.9319066147859922,0.07079646017699115,0.043243243243243246,0.1951219512195122,0.7612205513550805
31,1746,0.9221789883268483,0.09090909090909091,0.06486486486486487,0.1518987341772152,0.7772167476203351,0.9374189364461738,0.08530805687203792,0.04864864864864865,0.34615384615384615,0.7868435527628354,0.9328793774319066,0.06334841628959276,0.03783783783783784,0.19444444444444445,0.757985512245602
32,1796,0.9212062256809338,0.1033210332103321,0.07567567567567568,0.16279069767441862,0.7661710002517178,0.9393644617380026,0.08780487804878048,0.04864864864864865,0.45,0.7840168557657348,0.9280155642023347,0.08264462809917356,0.05405405405405406,0.17543859649122806,0.7614853211265767
33,1846,0.9257457846952011,0.10196078431372549,0.07027027027027027,0.18571428571428572,0.7691188946794328,0.9390402075226978,0.08737864077669903,0.04864864864864865,0.42857142857142855,0.7882569012613856,0.9335278858625162,0.08888888888888889,0.05405405405405406,0.25,0.7674370472576751
34,1896,0.9257457846952011,0.0728744939271255,0.04864864864864865,0.14516129032258066,0.7669522575352172,0.938715953307393,0.07804878048780488,0.043243243243243246,0.4,0.78136169974735,0.9296368352788587,0.06060606060606061,0.03783783783783784,0.15217391304347827,0.7650354735556528
35,1946,0.9273670557717251,0.0743801652892562,0.04864864864864865,0.15789473684210525,0.7727734633564229,0.938715953307393,0.09569377990430622,0.05405405405405406,0.4166666666666667,0.7837520859942384,0.9325551232166018,0.1111111111111111,0.07027027027027027,0.2653061224489796,0.7810540447311748
36,1996,0.9276913099870299,0.0823045267489712,0.05405405405405406,0.1724137931034483,0.7702730671340536,0.9380674448767834,0.0861244019138756,0.04864864864864865,0.375,0.7881841828030169,0.9312581063553826,0.07017543859649122,0.043243243243243246,0.18604651162790697,0.7895714272395887
