iter	Logloss
0	0.6423897219
1	0.6040854816
2	0.5760377899
3	0.544320112
4	0.516365307
5	0.4904097824
6	0.4679983718
7	0.4441126301
8	0.4296634262
9	0.4181044103
10	0.4083967587
11	0.3943829689
12	0.3876842723
13	0.3782628754
14	0.3690180891
15	0.3639387527
16	0.35501028
17	0.3480211003
18	0.3426739229
19	0.337692853
20	0.3339083575
21	0.3300387622
22	0.3259067761
23	0.3225491743
24	0.3185183525
25	0.3152906792
26	0.3126261562
27	0.3091241916
28	0.3055101837
29	0.3020848195
30	0.299821042
31	0.2966044276
32	0.2942450908
33	0.2908222123
34	0.287872219
35	0.284468305
36	0.2819524797
37	0.279725579
38	0.276373342
39	0.2741224213
40	0.2715723982
41	0.2693863615
42	0.2675852783
43	0.2657308239
44	0.2640510473
45	0.2627047147
46	0.2611354063
47	0.2588598544
48	0.2577316275
49	0.2565581571
50	0.2557297861
51	0.2543678297
52	0.2523368387
53	0.2508882473
54	0.2500352384
55	0.2488829664
56	0.2476965212
57	0.24544224
58	0.2441145691
59	0.2421722088
60	0.2409680715
61	0.2393273613
62	0.2377870315
63	0.2368577126
64	0.2358374455
65	0.2350802958
66	0.2344263365
67	0.2337720497
68	0.2331252588
69	0.2324803853
70	0.2317143365
71	0.2300790651
72	0.2289294988
73	0.2276674998
74	0.2265577369
75	0.2258446032
76	0.2248445894
77	0.2231011393
78	0.2218993453
79	0.2210858394
80	0.2197696285
81	0.2191790018
82	0.2180789988
83	0.2173989411
84	0.2164541962
85	0.2157488991
86	0.214646178
87	0.2138156742
88	0.2126090549
89	0.2118874352
90	0.2113190999
91	0.2106468146
92	0.2101139821
93	0.2090378702
94	0.2085198089
95	0.2076457698
96	0.2067084886
97	0.205364568
98	0.204850775
99	0.2038634158
100	0.2033351322
101	0.2025232449
102	0.2021309075
103	0.2016458025
104	0.2004790458
105	0.1997311489
106	0.1987416601
107	0.1981678963
108	0.1978230445
109	0.1967229708
110	0.1960923244
111	0.1948886511
112	0.1938954346
113	0.1931410047
114	0.1926586331
115	0.1916570478
116	0.1910231443
117	0.1906159532
118	0.19005148
119	0.1894728756
120	0.1890464949
121	0.1876258818
122	0.1869742044
123	0.1864059171
124	0.1849550564
125	0.1844395999
126	0.1837853254
127	0.1832789951
128	0.1825664597
129	0.1817786888
130	0.1802727222
131	0.1799009399
132	0.1797024654
133	0.1789927532
134	0.1775141268
135	0.1763159223
136	0.1759023633
137	0.1755094038
138	0.1751466423
139	0.1735008521
140	0.1732687522
141	0.1730346564
142	0.1725655457
143	0.1721205763
144	0.1714294879
145	0.1699061327
146	0.1696457602
147	0.1691162745
148	0.168276249
149	0.1679149129
150	0.1673573056
151	0.1669789707
152	0.1664847723
153	0.1657233704
154	0.1649441789
155	0.1643598673
156	0.1634010415
157	0.1630069646
158	0.1619150973
159	0.1615541563
160	0.1613267446
161	0.1605120964
162	0.159642338
163	0.1589621831
164	0.1577132997
165	0.1567697526
166	0.156500233
167	0.1562330686
168	0.1556633376
169	0.155155792
170	0.1549451499
171	0.1548152178
172	0.1544131483
173	0.1539175612
174	0.1529774686
175	0.1521559268
176	0.1516173088
177	0.150762507
178	0.1505035816
179	0.1501749266
180	0.1497426271
181	0.1494403017
182	0.1488189024
183	0.147743689
184	0.1474770628
185	0.1472100878
186	0.1468044602
187	0.1457595386
188	0.1453230303
189	0.1449740386
190	0.1444911135
191	0.1439596952
192	0.143581601
193	0.1430386937
194	0.1422662391
195	0.1414238866
196	0.1409514211
197	0.1405090517
198	0.140255385
199	0.1396221531
200	0.1387848276
201	0.138532234
202	0.1384099012
203	0.1380866669
204	0.1378573544
205	0.1373389226
206	0.1369654425
207	0.1362484804
208	0.1358184507
209	0.1354266962
210	0.1350133318
211	0.1341250498
212	0.1338780572
213	0.1330828061
214	0.1325587081
215	0.1316708365
216	0.1313139368
217	0.130970152
218	0.1303697087
219	0.1299233775
220	0.1292255219
221	0.129025671
222	0.1286067812
223	0.1280564587
224	0.1276855516
225	0.1271055698
226	0.126394124
227	0.1260131724
228	0.1253962173
229	0.1244667918
230	0.1239113777
231	0.1234729821
232	0.123068899
233	0.1228972633
234	0.1223375049
235	0.1218521541
236	0.1213959924
237	0.1209935609
238	0.1204879682
239	0.1200954858
240	0.11951503
241	0.1191324232
242	0.1187793446
243	0.1184908903
244	0.11825284
245	0.1176124847
246	0.1169818821
247	0.1163602555
248	0.1160711295
249	0.1155694338
250	0.1150840458
251	0.1147495271
252	0.1143878884
253	0.1140697611
254	0.1134963322
255	0.1130309069
256	0.1126603598
257	0.1121289346
258	0.1118132067
259	0.1114255754
260	0.1109688876
261	0.1105547651
262	0.1101491411
263	0.1099062729
264	0.1095314313
265	0.1091303347
266	0.1087701365
267	0.108426868
268	0.1081017423
269	0.1077660944
270	0.1074206351
271	0.1070118896
272	0.1063430315
273	0.1060731408
274	0.1057575497
275	0.1053785649
276	0.1051078943
277	0.1048419378
278	0.1044551701
279	0.1040921341
280	0.1038688241
281	0.1035152221
282	0.1028578858
283	0.1024873649
284	0.1022397393
285	0.1019592425
286	0.1017874364
287	0.1015042597
288	0.1012935493
289	0.1011310669
290	0.1006666623
291	0.1004054697
292	0.1001478187
293	0.09990066178
294	0.09944706172
295	0.09913401614
296	0.09893613429
297	0.09867991631
298	0.09843200961
299	0.09812074049
