iter	Passed	Remaining
432	1588	2080
433	1592	2076
434	1595	2072
435	1599	2069
436	1603	2066
437	1608	2064
438	1612	2060
439	1616	2057
440	1620	2053
441	1623	2049
442	1629	2048
443	1633	2045
444	1637	2041
445	1640	2038
446	1644	2034
447	1648	2031
448	1652	2027
449	1655	2023
450	1659	2019
451	1662	2015
452	1666	2012
453	1670	2008
454	1673	2005
455	1677	2001
456	1681	1997
457	1685	1994
458	1689	1991
459	1694	1989
460	1698	1986
461	1702	1982
462	1706	1979
463	1710	1975
464	1713	1971
465	1717	1968
466	1720	1964
467	1724	1960
468	1728	1956
469	1732	1953
470	1735	1949
471	1739	1945
472	1742	1941
473	1746	1937
474	1749	1934
475	1753	1930
476	1756	1926
477	1760	1922
478	1764	1918
479	1767	1914
480	1770	1910
481	1774	1907
482	1777	1903
483	1783	1901
484	1787	1898
485	1791	1894
486	1794	1890
487	1798	1886
488	1801	1882
489	1805	1878
490	1808	1875
491	1812	1871
492	1815	1867
493	1818	1863
494	1822	1859
495	1825	1855
496	1829	1851
497	1832	1847
498	1835	1843
499	1839	1839
500	1842	1835
501	1845	1831
502	1849	1827
503	1852	1823
504	1856	1819
505	1859	1815
506	1862	1811
507	1866	1807
508	1869	1803
509	1873	1799
510	1876	1795
511	1879	1791
512	1883	1788
513	1888	1785
514	1892	1781
515	1895	1778
516	1900	1775
517	1904	1772
518	1908	1768
519	1912	1765
520	1916	1762
521	1923	1761
522	1929	1759
523	1935	1757
524	1940	1755
525	1944	1752
526	1948	1748
527	1952	1744
528	1955	1741
529	1959	1737
530	1962	1733
531	1966	1729
532	1969	1725
533	1973	1721
534	1976	1718
535	1980	1714
536	1983	1710
537	1987	1706
538	1991	1703
539	1995	1699
540	1998	1695
541	2002	1692
542	2006	1688
543	2009	1684
544	2013	1681
545	2017	1677
546	2020	1673
547	2024	1669
548	2028	1666
549	2031	1662
550	2037	1660
551	2041	1656
552	2044	1652
553	2048	1648
554	2051	1645
555	2055	1641
556	2058	1637
557	2062	1634
558	2066	1630
559	2070	1626
560	2074	1623
561	2078	1619
562	2081	1615
563	2085	1612
564	2088	1608
565	2092	1604
566	2095	1600
567	2099	1596
568	2103	1593
569	2106	1589
570	2110	1585
571	2114	1581
572	2120	1580
573	2124	1576
574	2128	1573
575	2132	1569
576	2135	1565
577	2139	1562
578	2143	1558
579	2147	1554
580	2150	1551
581	2154	1547
582	2158	1543
583	2161	1539
584	2165	1535
585	2168	1532
586	2172	1528
587	2175	1524
588	2179	1520
589	2182	1516
590	2186	1513
591	2190	1509
592	2193	1505
593	2197	1502
594	2201	1498
595	2204	1494
596	2208	1490
597	2212	1487
598	2215	1483
599	2219	1479
600	2223	1476
601	2227	1472
602	2231	1468
603	2234	1465
604	2240	1462
605	2244	1458
606	2247	1455
607	2251	1451
608	2255	1447
609	2258	1444
610	2262	1440
611	2266	1436
612	2269	1432
613	2273	1429
614	2277	1425
615	2280	1421
616	2285	1418
617	2289	1414
618	2293	1411
619	2297	1407
620	2301	1404
621	2304	1400
622	2308	1397
623	2312	1393
624	2316	1389
625	2319	1385
626	2323	1382
627	2327	1378
628	2330	1374
629	2334	1371
630	2338	1367
631	2341	1363
632	2347	1360
633	2352	1357
634	2356	1354
635	2361	1351
636	2365	1347
637	2368	1344
638	2372	1340
639	2376	1336
640	2380	1333
641	2384	1329
642	2388	1325
643	2391	1322
644	2395	1318
645	2399	1314
646	2402	1310
647	2406	1307
648	2410	1303
649	2413	1299
650	2417	1295
651	2420	1292
652	2424	1288
653	2428	1284
654	2431	1280
655	2435	1277
656	2439	1273
657	2442	1269
658	2448	1266
659	2451	1263
660	2455	1259
661	2459	1255
662	2462	1251
663	2466	1247
664	2469	1244
665	2472	1240
666	2476	1236
667	2479	1232
668	2483	1228
669	2486	1224
670	2490	1221
671	2494	1217
672	2497	1213
673	2501	1209
674	2504	1205
675	2508	1202
676	2511	1198
677	2516	1194
678	2519	1191
679	2523	1187
680	2526	1183
681	2530	1179
682	2534	1176
683	2537	1172
684	2541	1168
685	2545	1165
686	2548	1161
687	2552	1157
688	2556	1153
689	2559	1150
690	2563	1146
691	2567	1142
692	2570	1138
693	2574	1134
694	2577	1131
695	2581	1127
696	2584	1123
697	2588	1119
698	2591	1116
699	2595	1112
700	2599	1108
701	2602	1104
702	2606	1101
703	2609	1097
704	2613	1093
705	2617	1090
706	2621	1086
707	2624	1082
708	2628	1078
709	2631	1075
710	2635	1071
711	2639	1067
712	2644	1064
713	2647	1060
714	2651	1056
715	2655	1053
716	2659	1049
717	2663	1046
718	2667	1042
719	2671	1038
720	2676	1035
721	2679	1031
722	2683	1028
723	2687	1024
724	2691	1020
725	2694	1017
726	2698	1013
727	2701	1009
728	2705	1005
729	2709	1002
730	2713	998
731	2717	994
732	2721	991
733	2724	987
734	2728	983
735	2732	980
736	2735	976
737	2739	972
738	2743	968
739	2747	965
740	2750	961
741	2754	957
742	2757	953
743	2761	950
744	2766	946
745	2770	943
746	2773	939
747	2777	935
748	2781	932
749	2785	928
750	2788	924
751	2792	920
752	2796	917
753	2800	913
754	2803	909
755	2807	906
756	2810	902
757	2814	898
758	2818	894
759	2822	891
760	2825	887
761	2829	883
762	2833	880
763	2836	876
764	2840	872
765	2844	868
766	2847	865
767	2851	861
768	2854	857
769	2858	853
770	2861	850
771	2867	846
772	2870	843
773	2874	839
774	2878	835
775	2881	831
776	2885	828
777	2888	824
778	2892	820
779	2896	816
780	2900	813
781	2903	809
782	2909	806
783	2913	802
784	2917	798
785	2920	795
786	2924	791
787	2928	787
788	2931	783
789	2935	780
790	2938	776
791	2942	772
792	2945	768
793	2949	765
794	2954	761
795	2958	758
796	2962	754
797	2966	751
798	2970	747
799	2974	743
800	2977	739
801	2981	736
802	2985	732
803	2988	728
804	2992	724
805	2996	721
806	3000	717
807	3007	714
808	3013	711
809	3017	707
810	3022	704
811	3026	700
812	3029	696
813	3033	693
814	3037	689
815	3041	685
816	3044	681
817	3048	678
818	3052	674
819	3056	670
820	3060	667
821	3063	663
822	3067	659
823	3071	655
824	3074	652
825	3078	648
826	3082	644
827	3085	640
828	3089	637
829	3092	633
830	3095	629
831	3099	625
832	3102	622
833	3106	618
834	3109	614
835	3113	610
836	3116	607
837	3120	603
838	3124	599
839	3128	595
840	3132	592
841	3136	588
842	3139	584
843	3143	581
844	3147	577
845	3151	573
846	3155	569
847	3158	566
848	3162	562
849	3165	558
850	3169	554
851	3172	551
852	3176	547
853	3180	543
854	3184	539
855	3187	536
856	3191	532
857	3194	528
858	3198	525
859	3202	521
860	3205	517
861	3208	513
862	3212	509
863	3216	506
864	3219	502
865	3223	498
866	3226	494
867	3230	491
868	3233	487
869	3237	483
870	3241	480
871	3244	476
872	3248	472
873	3251	468
874	3255	465
875	3258	461
876	3262	457
877	3265	453
878	3269	450
879	3272	446
880	3276	442
881	3279	438
882	3283	435
883	3287	431
884	3292	427
885	3296	424
886	3300	420
887	3304	416
888	3308	413
889	3311	409
890	3315	405
891	3320	401
892	3323	398
893	3328	394
894	3333	391
895	3337	387
896	3341	383
897	3345	379
898	3349	376
899	3353	372
900	3356	368
901	3360	365
902	3364	361
903	3367	357
904	3371	353
905	3374	350
906	3378	346
907	3381	342
908	3385	338
909	3389	335
910	3392	331
911	3396	327
912	3400	324
913	3404	320
914	3407	316
915	3411	312
916	3414	309
917	3418	305
918	3422	301
919	3426	297
920	3429	294
921	3433	290
922	3437	286
923	3440	283
924	3444	279
925	3447	275
926	3451	271
927	3455	268
928	3458	264
929	3462	260
930	3466	256
931	3469	253
932	3473	249
933	3478	245
934	3481	242
935	3485	238
936	3489	234
937	3493	230
938	3496	227
939	3501	223
940	3505	219
941	3509	216
942	3513	212
943	3517	208
944	3522	205
945	3526	201
946	3531	197
947	3535	193
948	3538	190
949	3542	186
950	3546	182
951	3549	178
952	3553	175
953	3557	171
954	3561	167
955	3564	164
956	3568	160
957	3571	156
958	3575	152
959	3579	149
